District,Crop,Crop_Group,Production_MT,Rainfall_2020_mm,Rainfall_2021_mm,Avg_Rainfall_mm,Rabi_Rainfall,Kharif_Rainfall,Season,Water_Min,Water_Max,Temp_Min,Temp_Max,Soil_Type,District_Soil,District_Temp_Min,District_Temp_Max,Water_Score,Temp_Score,Soil_Score,Suitability_Score,Production_Log,Productivity_Score,ML_Prediction,Final_Score,Productivity_Class
Cuddalore,jowar,Millets,24,1323.4,342.2,832.8000000000001,582.96,249.84,Kharif,400,700,25,35,sandy,loam,20.0,35.0,1.0,1.0,0.6,0.92,3.218875824868201,0.1657288091591325,0.015,0.558,0
Cuddalore,ragi,Millets,14126,1323.4,342.2,832.8000000000001,582.96,249.84,Kharif,350,750,20,30,loam,loam,20.0,35.0,1.0,1.0,1.0,1.0,9.555843138911664,0.8388323121923574,0.86,0.944,2
Villupuram,maize,Millets,4947,1137.7,144.1,640.9,448.63,192.27,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.46966666666666657,0.7777777777777778,1.0,0.6527611111111111,8.506738733512378,0.559192582087397,0.085,0.4256566666666667,1
Villupuram,jowar,Millets,188,1137.7,144.1,640.9,448.63,192.27,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.8029999999999999,1.0,0.6,0.81165,5.241747015059643,0.3740301240733055,0.0,0.48699,0
Villupuram,ragi,Millets,38146,1137.7,144.1,640.9,448.63,192.27,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.72725,1.0,1.0,0.8499874999999999,10.549202396661183,0.95,0.945,0.8879925,2
Kallakurichi,maize,Millets,181596,972.372277227723,112.8,542.5861386138615,379.8102970297031,162.77584158415846,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.1419537953795384,0.7777777777777778,1.0,0.4725190319031906,12.109545225189088,0.8937523367984429,0.97,0.6715114191419144,2
Kallakurichi,jowar,Millets,307,972.372277227723,112.8,542.5861386138615,379.8102970297031,162.77584158415846,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.47528712871287176,1.0,0.6,0.6314079207920794,5.730099782973574,0.4243173218898015,0.03,0.39084475247524764,1
Kallakurichi,ragi,Millets,55888,972.372277227723,112.8,542.5861386138615,379.8102970297031,162.77584158415846,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.4814653465346538,1.0,1.0,0.7148059405940597,10.931122859815252,0.95,0.945,0.8068835643564358,2
Vellore,maize,Millets,3184,1088.3,49.8,569.05,398.3349999999999,170.71499999999995,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.23016666666666652,0.7777777777777778,1.0,0.521036111111111,8.066207568006265,0.5182844736406106,0.08,0.3446216666666666,1
Vellore,jowar,Millets,3739,1088.3,49.8,569.05,398.3349999999999,170.71499999999995,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.5634999999999999,1.0,0.6,0.679925,8.226840890408578,0.6814144906075786,0.075,0.437955,1
Vellore,ragi,Millets,783,1088.3,49.8,569.05,398.3349999999999,170.71499999999995,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.5476249999999999,1.0,1.0,0.7511937499999999,6.664409020350408,0.4999882171260997,0.015,0.45671624999999993,1
Ranipet,maize,Millets,42,972.372277227723,44.0,508.1861386138615,355.730297029703,152.45584158415843,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.027287128712871624,0.7777777777777778,1.0,0.40945236523652384,3.7612001156935615,0.1185177249677808,0.025,0.25567141914191427,0
Ranipet,jowar,Millets,168,972.372277227723,44.0,508.1861386138615,355.730297029703,152.45584158415843,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.36062046204620496,1.0,0.6,0.5683412541254127,5.1298987149230735,0.3625127580134539,0.05,0.3610047524752476,0
Ranipet,ragi,Millets,593,972.372277227723,44.0,508.1861386138615,355.730297029703,152.45584158415843,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.3954653465346537,1.0,1.0,0.6675059405940595,6.386879319362645,0.4674648060680603,0.005,0.4025035643564357,1
Tirupathur,maize,Millets,11694,972.372277227723,16.7,494.5361386138615,346.175297029703,148.36084158415844,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.9890722772277231,0.7777777777777778,1.0,0.9384341969196921,9.36691667901828,0.6390694567186446,0.355,0.7050605181518153,1
Tirupathur,jowar,Millets,5147,972.372277227723,16.7,494.5361386138615,346.175297029703,148.36084158415844,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.31512046204620503,1.0,0.6,0.5433162541254128,8.546363568716018,0.7143167309277046,0.76,0.6299897524752478,2
Tirupathur,ragi,Millets,2628,972.372277227723,16.7,494.5361386138615,346.175297029703,148.36084158415844,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.3613403465346538,1.0,1.0,0.6487371905940595,7.874358824729881,0.6417809503267999,0.025,0.3992423143564357,1
Tiruvannamalai,maize,Millets,5903,1034.5,74.2,554.35,388.045,166.305,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.18116666666666675,0.7777777777777778,1.0,0.49408611111111117,8.683385366280309,0.5755961425522463,0.105,0.33845166666666665,1
Tiruvannamalai,jowar,Millets,42,1034.5,74.2,554.35,388.045,166.305,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.5145000000000001,1.0,0.6,0.6529750000000001,3.7612001156935615,0.2215736219364247,0.005,0.39378500000000005,0
Tiruvannamalai,ragi,Millets,16944,1034.5,74.2,554.35,388.045,166.305,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.5108750000000001,1.0,1.0,0.7309812500000001,9.737728084041152,0.8601472158392868,0.96,0.8225887500000001,2
Salem,maize,Millets,272704,967.9,62.4,515.15,360.605,154.545,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.05049999999999993,0.7777777777777778,1.0,0.4222194444444444,12.516145903832443,0.93150963062661,0.985,0.6473316666666666,2
Salem,jowar,Millets,70240,967.9,62.4,515.15,360.605,154.545,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.38383333333333325,1.0,0.6,0.5811083333333333,11.159687465109704,0.95,0.99,0.744665,2
Salem,ragi,Millets,3118,967.9,62.4,515.15,360.605,154.545,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.41287499999999994,1.0,1.0,0.6770812500000001,8.045267716607803,0.6618095819443751,0.04,0.42224875000000006,1
Namakkal,maize,Millets,30818,629.2,66.3,347.75,243.425,104.325,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.6955,0.7777777777777778,1.0,0.7769694444444446,10.335886661884372,0.7290488548736583,0.735,0.7601816666666668,2
Namakkal,jowar,Millets,36802,629.2,66.3,347.75,243.425,104.325,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.869375,1.0,0.6,0.8481562500000001,10.513334642573437,0.9168618376400444,1.0,0.9088937500000001,2
Namakkal,ragi,Millets,171,629.2,66.3,347.75,243.425,104.325,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.9935714285714285,1.0,1.0,0.9964642857142858,5.147494476813453,0.3222226119898553,0.035,0.6118785714285715,0
Dharmapuri,maize,Millets,18624,918.4,59.8,489.1,342.36999999999995,146.73,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.9782000000000001,0.7777777777777778,1.0,0.9324544444444445,9.83226004324776,0.6822816475905928,0.285,0.6734726666666666,1
Dharmapuri,jowar,Millets,82512,918.4,59.8,489.1,342.36999999999995,146.73,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.2970000000000001,1.0,0.6,0.5333500000000001,11.320711135666592,0.95,0.97,0.70801,2
Dharmapuri,ragi,Millets,1083,918.4,59.8,489.1,342.36999999999995,146.73,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.34775000000000006,1.0,1.0,0.6412625000000001,6.988413181999592,0.537957920895919,0.005,0.38675750000000003,1
Krishnagiri,maize,Millets,8092,798.6,45.9,422.25,295.575,126.675,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.8445,0.7777777777777778,1.0,0.8589194444444446,8.998754769495703,0.6048816205336097,0.39,0.6713516666666668,1
Krishnagiri,jowar,Millets,7029,798.6,45.9,422.25,295.575,126.675,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.07416666666666667,1.0,0.6,0.41079166666666667,8.857941984804711,0.7464009259495379,0.92,0.6144750000000001,2
Krishnagiri,ragi,Millets,1194,798.6,45.9,422.25,295.575,126.675,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.180625,1.0,1.0,0.54934375,7.085901464365611,0.5493824692215485,0.015,0.33560625,1
Coimbatore,maize,Millets,23230,1585.3,118.5,851.9,596.3299999999999,255.57,Kharif,500,800,18,27,loam,loam,20.0,35.0,1.0,0.7777777777777778,1.0,0.9444444444444444,10.053242872620965,0.7028023059610192,0.875,0.9166666666666667,2
Coimbatore,jowar,Millets,27817,1585.3,118.5,851.9,596.3299999999999,255.57,Kharif,400,700,25,35,sandy,loam,20.0,35.0,1.0,1.0,0.6,0.92,10.233438572167076,0.8880400719301689,0.96,0.936,2
Coimbatore,ragi,Millets,285,1585.3,118.5,851.9,596.3299999999999,255.57,Kharif,350,750,20,30,loam,loam,20.0,35.0,1.0,1.0,1.0,1.0,5.655991810819852,0.3818128747867605,0.005,0.602,0
Tiruppur,maize,Millets,215213,748.8,118.4,433.6,303.52,130.07999999999998,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.8672000000000001,0.7777777777777778,1.0,0.8714044444444446,12.279388160915811,0.9095241000189794,0.96,0.9068426666666668,2
Tiruppur,jowar,Millets,6397,748.8,118.4,433.6,303.52,130.07999999999998,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.11200000000000007,1.0,0.6,0.43160000000000004,8.763740720509464,0.7367007298547877,0.86,0.60296,2
Tiruppur,ragi,Millets,148,748.8,118.4,433.6,303.52,130.07999999999998,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.20900000000000005,1.0,1.0,0.5649500000000001,5.003946305945459,0.3054003542237387,0.0,0.33897000000000005,0
Erode,maize,Millets,124835,629.5,78.5,354.0,247.8,106.2,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.708,0.7777777777777778,1.0,0.7838444444444446,11.734756154858896,0.8589490966777961,0.945,0.8483066666666668,2
Erode,jowar,Millets,4,629.5,78.5,354.0,247.8,106.2,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.885,1.0,0.6,0.85675,1.6094379124341005,0.05,0.115,0.56005,0
Erode,ragi,Millets,293,629.5,78.5,354.0,247.8,106.2,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.01,1.0,1.0,0.4555,5.683579767338681,0.3850458781262941,0.085,0.3073,0
Tiruchirapalli,maize,Millets,106126,796.6,139.2,467.9,327.53,140.36999999999998,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.9358,0.7777777777777778,1.0,0.9091344444444445,11.572391769136894,0.8438717981366572,0.93,0.9174806666666666,2
Tiruchirapalli,jowar,Millets,65540,796.6,139.2,467.9,327.53,140.36999999999998,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.22633333333333325,1.0,0.6,0.4944833333333333,11.090431179994203,0.95,0.975,0.68669,2
Tiruchirapalli,ragi,Millets,699,796.6,139.2,467.9,327.53,140.36999999999998,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.29474999999999996,1.0,1.0,0.6121125000000001,6.551080335043404,0.4867073487945715,0.005,0.3692675,1
Karur,maize,Millets,6487,684.2,109.1,396.65,277.65500000000003,118.995,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.7933,0.7777777777777778,1.0,0.8307594444444446,8.77770959579525,0.5843551728145518,0.185,0.5724556666666667,1
Karur,jowar,Millets,12004,684.2,109.1,396.65,277.65500000000003,118.995,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.991625,1.0,0.6,0.91539375,9.393078508655352,0.8015055920880373,0.885,0.90323625,2
Karur,ragi,Millets,1417,684.2,109.1,396.65,277.65500000000003,118.995,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.11662499999999994,1.0,1.0,0.5141437499999999,7.257002707092073,0.5694336422308817,0.07,0.33648624999999993,1
Perambalur,maize,Millets,570177,1102.4,157.6,630.0,441.0,189.0,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.43333333333333335,0.7777777777777778,1.0,0.6327777777777779,13.253703871763015,0.95,0.915,0.7456666666666667,2
Perambalur,jowar,Millets,1032,1102.4,157.6,630.0,441.0,189.0,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.7666666666666667,1.0,0.6,0.7916666666666667,6.940222469119639,0.5489274048026146,0.08,0.507,1
Perambalur,ragi,Millets,165,1102.4,157.6,630.0,441.0,189.0,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.7,1.0,1.0,0.835,5.111987788356544,0.318061620860316,0.01,0.505,0
Pudukkottai,maize,Millets,20944,947.6,191.1,569.35,398.545,170.805,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.23116666666666674,0.7777777777777778,1.0,0.5215861111111111,9.949655233381137,0.6931830673881906,0.265,0.4189516666666666,1
Pudukkottai,jowar,Millets,44,947.6,191.1,569.35,398.545,170.805,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.5645000000000001,1.0,0.6,0.680475,3.80666248977032,0.226255023473619,0.0,0.408285,0
Pudukkottai,ragi,Millets,10,947.6,191.1,569.35,398.545,170.805,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.5483750000000001,1.0,1.0,0.75160625,2.3978952727983707,0.05,0.005,0.45296375,0
Thanjavur,maize,Millets,10705,968.1,278.6,623.35,436.345,187.005,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.41116666666666674,0.7777777777777778,1.0,0.6205861111111112,9.278559610953328,0.6308645422756708,0.105,0.4143516666666667,1
Thanjavur,jowar,Millets,100,968.1,278.6,623.35,436.345,187.005,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.7445,1.0,0.6,0.779475,4.61512051684126,0.3095044517656189,0.015,0.473685,0
Thanjavur,ragi,Millets,13,968.1,278.6,623.35,436.345,187.005,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.6833750000000001,1.0,1.0,0.82585625,2.6390573296152584,0.05,0.01,0.49951375,0
Madurai,maize,Millets,97735,915.5,131.5,523.5,366.45,157.04999999999998,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.07833333333333334,0.7777777777777778,1.0,0.4375277777777778,11.490025245083896,0.8362231708381236,0.925,0.6325166666666667,2
Madurai,jowar,Millets,22405,915.5,131.5,523.5,366.45,157.04999999999998,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.4116666666666667,1.0,0.6,0.5964166666666667,10.017084059118668,0.8657613772836086,0.995,0.75585,2
Madurai,ragi,Millets,3548,915.5,131.5,523.5,366.45,157.04999999999998,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.43375,1.0,1.0,0.6885625,8.174421152646497,0.6769449360160096,0.02,0.4211375,1
Theni,maize,Millets,49040,921.9,112.6,517.25,362.075,155.17499999999998,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.0575,0.7777777777777778,1.0,0.4260694444444445,10.800411961919318,0.7721850795906398,0.915,0.6216416666666668,2
Theni,jowar,Millets,28417,921.9,112.6,517.25,362.075,155.17499999999998,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.3908333333333333,1.0,0.6,0.5849583333333334,10.25477802619802,0.8902374616382974,0.995,0.748975,2
Theni,ragi,Millets,2190,921.9,112.6,517.25,362.075,155.17499999999998,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.418125,1.0,1.0,0.67996875,7.692113339595466,0.6204237953794103,0.01,0.41198125,1
Dindigul,maize,Millets,175019,959.4,194.4,576.9,403.83,173.07,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.25633333333333325,0.7777777777777778,1.0,0.5354277777777778,12.072655532089822,0.8903267277064285,0.89,0.6772566666666667,2
Dindigul,jowar,Millets,49400,959.4,194.4,576.9,403.83,173.07,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.5896666666666666,1.0,0.6,0.6943166666666666,10.807725945886109,0.9471762224000168,0.945,0.7945899999999999,2
Dindigul,ragi,Millets,585,959.4,194.4,576.9,403.83,173.07,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.5672499999999999,1.0,1.0,0.7619875,6.373319789577012,0.4658757791660664,0.01,0.4611925,1
Ramanathapuram,maize,Millets,2290,860.2,239.8,550.0,385.0,165.0,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.16666666666666666,0.7777777777777778,1.0,0.4861111111111111,7.736743682453495,0.4876901697302208,0.04,0.30766666666666664,1
Ramanathapuram,jowar,Millets,16162,860.2,239.8,550.0,385.0,165.0,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.5,1.0,0.6,0.645,9.690479958409808,0.8321299409549425,0.96,0.771,2
Ramanathapuram,ragi,Millets,2059,860.2,239.8,550.0,385.0,165.0,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.5,1.0,1.0,0.7250000000000001,7.630461261783627,0.6131988538249743,0.035,0.44900000000000007,1
Virudhunagar,maize,Millets,185782,855.0,120.5,487.75,341.42499999999995,146.325,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.9755,0.7777777777777778,1.0,0.9309694444444445,12.132334604943331,0.8958685784889724,0.88,0.9105816666666666,2
Virudhunagar,jowar,Millets,34218,855.0,120.5,487.75,341.42499999999995,146.325,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.2925,1.0,0.6,0.530875,10.440536324342396,0.9093655692248364,0.985,0.7125250000000001,2
Virudhunagar,ragi,Millets,4653,855.0,120.5,487.75,341.42499999999995,146.325,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.344375,1.0,1.0,0.63940625,8.445482343862237,0.7087103092802572,0.185,0.45764374999999996,2
Sivagangai,maize,Millets,220,1112.0,181.1,646.55,452.5849999999999,193.965,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.4884999999999998,0.7777777777777778,1.0,0.6631194444444444,5.3981627015177525,0.2705274991395888,0.045,0.41587166666666664,0
Sivagangai,jowar,Millets,562,1112.0,181.1,646.55,452.5849999999999,193.965,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.8218333333333332,1.0,0.6,0.8220083333333333,6.333279628139691,0.4864286196763593,0.01,0.497205,1
Sivagangai,ragi,Millets,100,1112.0,181.1,646.55,452.5849999999999,193.965,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.7413749999999999,1.0,1.0,0.85775625,4.61512051684126,0.2598342727413101,0.0,0.51465375,0
Tirunelveli,maize,Millets,1965,972.372277227723,419.8,696.0861386138615,487.2602970297031,208.82584158415844,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.653620462046205,0.7777777777777778,1.0,0.7539356985698573,7.583756300707112,0.4734836279608528,0.09,0.48836141914191433,1
Tirunelveli,jowar,Millets,146,972.372277227723,419.8,696.0861386138615,487.2602970297031,208.82584158415844,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.9869537953795384,1.0,0.6,0.9128245874587462,4.990432586778736,0.3481514986216957,0.015,0.5536947524752477,0
Tenkasi,maize,Millets,61622,790.2,148.1,469.15,328.40500000000003,140.745,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.9382999999999999,0.7777777777777778,1.0,0.9105094444444444,11.028790456457282,0.7933925058818976,0.905,0.9083056666666667,2
Tenkasi,jowar,Millets,3561,790.2,148.1,469.15,328.40500000000003,140.745,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.23049999999999993,1.0,0.6,0.49677499999999997,8.178077463849608,0.6763931694670107,0.135,0.35206499999999996,1
Tenkasi,ragi,Millets,288,790.2,148.1,469.15,328.40500000000003,140.745,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.29787499999999995,1.0,1.0,0.61383125,5.666426688112432,0.3830357269799452,0.0,0.36829875,0
Thoothukudi,maize,Millets,129828,568.1,162.2,365.15,255.605,109.545,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.7303,0.7777777777777778,1.0,0.7961094444444445,11.7739734789446,0.8625908516143567,0.96,0.8616656666666667,2
Thoothukudi,jowar,Millets,45775,568.1,162.2,365.15,255.605,109.545,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.912875,1.0,0.6,0.87208125,10.73151521528989,0.9393285673092052,0.99,0.9192487500000001,2
Thoothukudi,ragi,Millets,29256,568.1,162.2,365.15,255.605,109.545,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.03787499999999994,1.0,1.0,0.47083125,10.283874140267756,0.9241494924286604,0.905,0.64449875,2
The Nilgiris,maize,Millets,11,1885.2,163.9,1024.55,717.185,307.36499999999995,Kharif,500,800,18,27,loam,loam,18.5,33.0,1.0,0.9444444444444444,1.0,0.9861111111111112,2.4849066497880004,0.05,0.03,0.6036666666666667,0
Kanyakumari,maize,Millets,49,1099.5,99.1,599.3,419.50999999999993,179.79,Kharif,500,800,18,27,loam,loam,19.75,33.0,0.33099999999999985,0.8055555555555556,1.0,0.5834388888888888,3.912023005428146,0.1325232701201462,0.0,0.3500633333333333,0
Ariyalur,black gram,Pulses,5962,1064.4,220.7,642.5500000000001,449.785,192.765,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.8085000000000002,1.0,1.0,0.8946750000000001,8.693328989123106,0.582529338784109,0.085,0.5708050000000001,1
Chengalpattu,green gram,Pulses,1173,972.372277227723,172.5,572.4361386138614,400.705297029703,171.7308415841584,Kharif,400,700,25,35,loam,loam,19.5,35.0,0.5747871287128714,1.0,1.0,0.7661329207920793,7.068172000388042,0.5415812452402043,0.03,0.47167975247524757,1
Tiruvallur,green gram,Pulses,7702,1229.0,139.0,684.0,478.8,205.2,Kharif,400,700,25,35,loam,loam,19.5,35.0,0.9466666666666667,1.0,1.0,0.9706666666666668,8.949365142352965,0.8704574108129286,0.285,0.6964,2
Cuddalore,green gram,Pulses,7970,1323.4,342.2,832.8000000000001,582.96,249.84,Kharif,400,700,25,35,loam,loam,20.0,35.0,1.0,1.0,1.0,1.0,8.983565234427923,0.8764363796348635,0.575,0.83,2
Cuddalore,black gram,Pulses,39027,1323.4,342.2,832.8000000000001,582.96,249.84,Kharif,400,700,25,35,loam,loam,20.0,35.0,1.0,1.0,1.0,1.0,10.57203461622784,0.95,0.975,0.99,2
Villupuram,black gram,Pulses,48949,1137.7,144.1,640.9,448.63,192.27,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.8029999999999999,1.0,1.0,0.89165,10.798554647958657,0.95,0.94,0.91099,2
Kallakurichi,black gram,Pulses,45531,972.372277227723,112.8,542.5861386138615,379.8102970297031,162.77584158415846,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.47528712871287176,1.0,1.0,0.7114079207920794,10.726170654445108,0.95,0.985,0.8208447524752476,2
Vellore,red gram,Pulses,4444,1088.3,49.8,569.05,398.3349999999999,170.71499999999995,Kharif,600,1000,25,35,loam,loam,20.0,35.0,0.9484166666666666,1.0,1.0,0.9716291666666668,8.399535147948004,0.7812368126266995,0.765,0.8889775000000001,2
Vellore,green gram,Pulses,385,1088.3,49.8,569.05,398.3349999999999,170.71499999999995,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.5634999999999999,1.0,1.0,0.759925,5.955837369464831,0.3471193688431458,0.005,0.45795499999999995,0
Vellore,black gram,Pulses,1014,1088.3,49.8,569.05,398.3349999999999,170.71499999999995,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.5634999999999999,1.0,1.0,0.759925,6.922643891475888,0.23139893892076,0.01,0.45995499999999995,0
Ranipet,red gram,Pulses,994,972.372277227723,44.0,508.1861386138615,355.730297029703,152.45584158415843,Kharif,600,1000,25,35,loam,loam,20.0,35.0,0.8469768976897691,1.0,1.0,0.9158372937293731,6.902742737158593,0.4966595948757736,0.205,0.6315023762376237,1
Ranipet,green gram,Pulses,697,972.372277227723,44.0,508.1861386138615,355.730297029703,152.45584158415843,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.36062046204620496,1.0,1.0,0.6483412541254128,6.548219102762372,0.4506814266968801,0.02,0.39700475247524764,1
Ranipet,black gram,Pulses,2214,972.372277227723,44.0,508.1861386138615,355.730297029703,152.45584158415843,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.36062046204620496,1.0,1.0,0.6483412541254128,7.703007682479236,0.3861466410039662,0.105,0.4310047524752476,0
Tirupathur,red gram,Pulses,5635,972.372277227723,16.7,494.5361386138615,346.175297029703,148.36084158415844,Kharif,600,1000,25,35,loam,loam,20.0,35.0,0.8242268976897692,1.0,1.0,0.9033247937293731,8.636929873018572,0.8263714150487537,0.88,0.893994876237624,2
Tirupathur,green gram,Pulses,196,972.372277227723,16.7,494.5361386138615,346.175297029703,148.36084158415844,Kharif,400,700,25,35,loam,loam,20.0,35.0,0.31512046204620503,1.0,1.0,0.6233162541254128,5.2832037287379885,0.2295274174040679,0.01,0.3779897524752477,0
